Item,€/pcs,Qty,€ Total,Link,Notes
GRobotronics,,,,,
eSUN PETG+HS 1.75mm 1kg - Solid Black,€19.90,1,€19.90,https://grobotronics.com/esun-petghs-1-75mm-1kg-solid-black.html,
Soldering Wire Brofil 60 100g 1mm,€7.20,1,€7.20,https://grobotronics.com/soldering-wire-brofil-60-100g-1mm.html,
Waveshare ESP32-S3 Pico With Pre-soldered Headers,€13.60,1,€13.60,https://grobotronics.com/waveshare-esp32-s3-development-board.html?variation_id=18355,
Battery Lithium 18650 3.6V 3400mAh - Samsung INR18650-35E,€5.80,2,€11.60,https://grobotronics.com/battery-lithium-18650-3.6v-3400mah-8a-samsung-inr18650-35e.html,
Battery Holder 2x18650 - with Wires & Switch,€1.20,1,€1.20,https://grobotronics.com/battery-lithium-18650-3.6v-3400mah-8a-samsung-inr18650-35e.html,
Joystick Module 5-Way,€2.60,1,€2.60,https://grobotronics.com/5-way-joystick-module.html,
"Waveshare LCD 1.8"" 128×160 SPI",€11.20,1,€11.20,https://grobotronics.com/display-1.8-128x160-lcd-module.html,
USB Type-C Breakout Board - Straight Header,€0.80,1,€0.80,https://grobotronics.com/usb-type-c-breakout-board-straight-header.html,
Pin Header 1x40 Male 2.54 mm Black,€0.10,1,€0.10,https://grobotronics.com/pin-header-1x40-male-2.54-mm-black.html,
Pin Header 1x10 Female 2.54mm,€0.17,4,€0.68,https://grobotronics.com/pin-header-1x10-female-2.54mm.html,
Pin Header 1x8 Female 2.54mm,€0.10,3,€0.30,https://grobotronics.com/pin-header-1x8-female-2.54mm.html,
Arduino Long Header 8pins,€0.25,1,€0.25,https://grobotronics.com/arduino-long-header-8pins.html,
Pin Header Female 1x6 2.54mm,€0.08,3,€0.24,https://grobotronics.com/pin-header-1x6-female-2.54mm.html,
Pin Header 1x4 Long Stackable,€0.20,1,€0.20,https://grobotronics.com/pin-header-1x4-long-stackable.html,
Threaded Insert M3 - 5.7x4.6mm,€0.15,10,€1.50,https://grobotronics.com/threaded-insert-m3-short-3x4-6.html,
Bolt M3 - Nylon (20mm),€0.30,10,€3.00,https://grobotronics.com/m3.html?variation_id=12363,
High Temperature Adhesive Tape 50mm - 33m,€7.90,1,€7.90,https://grobotronics.com/high-temperature-adhesive-tape-50mm-33m.html,
YATO YT-2081 Side Cutting Pliers 115mm,€3.60,1,€3.60,https://grobotronics.com/yato-cutting-pliers-115mm.html,
Shipping (BOXNOW),€0.00,0,€0.00,,(free w/ BOXNOW over €25)
Subtotal,,44,€85.87,,
,,,,,
AliExpress,,,,,
Dual-band WiFi + Bluetooth 5.0 IoT Core Board (BW16 RTL8720DN) | Suitable for Arduino and Smart Home Projects (IPEX Antenna),€7.24,1,€7.24,https://www.aliexpress.com/item/1005010064459718.html?spm=a2g0o.detail.0.0.7236U0QJU0QJSg&mp=1&pdp_npi=6%40dis%21EUR%21EUR%209.55%21EUR%201.95%21%21EUR%201.95%21%21%21%402103835e17741877141951141e5be7%2112000051007214201%21ct%21GR%21-1%21%211%210%21,
1PCS W5500 Module TCP/IP Ethernet Module Compatible with WIZ820io Network Interface RC5 IoT for Arduino,€3.91,1,€3.91,https://www.aliexpress.com/item/1005004679288698.html?spm=a2g0o.detail.0.0.7236U0QJU0QJSg&mp=1&pdp_npi=6%40dis%21EUR%21EUR%204.54%21EUR%200.88%21%21EUR%200.88%21%21%21%402103835e17741877141951141e5be7%2112000030074096066%21ct%21GR%21-1%21%211%210%21,
5/10pcs DC 5V 2A Mobile Power Diy Board 4.2V Charge/Discharge(boost)/battery protection/indicator module 3.7V lithium 18650 (MH-CD42),€2.71,1,€2.71,https://www.aliexpress.com/item/1005007432099008.html?spm=a2g0o.productlist.main.1.6d655d0d201MlN&algo_pvid=0b38d990-1f78-4ed4-ab89-ce53223c6fe6&algo_exp_id=0b38d990-1f78-4ed4-ab89-ce53223c6fe6-8&pdp_ext_f=%7B%22order%22%3A%22861%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.13%212.71%21%21%213.53%213.06%21%4021039a5b17741899750876391e3fa0%2112000040730748938%21sea%21GR%216308147579%21X%211%210%21n_tag%3A-29919%3Bd%3A73d1907e%3Bm03_new_user%3A-29895%3BpisId%3A5000000202472607&curPageLogUid=w2UUTZk6Qdsr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007432099008%7C_p_origin_prod%3A,
Shipping (AliExpress Choice),€0.00,0,€0.00,,(free)
Subtotal,,3,€13.86,,
,,,,,
JLCPCB,,,,,
PCB (2 layers),€7.39,1,€7.39,,
Shipping (Global Standard Direct Line),€7.71,1,€7.71,,
,,,€15.10,,
,,,,,
TOTAL,,,€114.83,,
"Conversion to USD (rate from Google Finance, €1 = _$)",1.1560,,$132.74,,